"","ActiveScreener.Id","Time.of.Screening","Title","Authors","Question","List.of.Reviewers","answers"
"63","7362185","05/03/2021 20:31:08","Carbonaceous aerosols in fine particulate matter of Santiago metropolitan Area, Chile","Toro A., R., Flocchini, R., Morales Segura, R. G. E.  et al.","02 organization","Sanchez, Luis","Academia"
"64","7362184","05/18/2021 23:04:17","Ozone, nitrogen oxides, and volatile organic compounds in a central zone of Chile","Toro A, R., Seguel, R. J., Morales S, R. G. E.  et al.","02 organization","Sanchez, Luis","Academia"
"65","7362184","05/18/2021 23:04:17","Ozone, nitrogen oxides, and volatile organic compounds in a central zone of Chile","Toro A, R., Seguel, R. J., Morales S, R. G. E.  et al.","02 organization","Sanchez, Luis","Private sector"
"66","7362183","05/07/2021 15:50:48","Inhaled and inspired particulates in Metropolitan Santiago Chile exceed air quality standards","Toro A, R., Morales S, R. G. E., Canales, M.  et al.","02 organization","Sanchez, Luis","Academia"
"67","7362182","05/13/2021 15:42:47","Exploring atmospheric stagnation during a severe particulate matter air pollution episode over complex terrain in Santiago, Chile","Toro A, R., Kvaki, M., Klai, Z. B.  et al.","02 organization","Sanchez, Luis","Academia"
"68","7362181","06/01/2021 11:24:47","Air pollution and COVID-19 lockdown in a large South American city: Santiago Metropolitan Area, Chile","Toro A, R., Catalán, F., Urdanivia, F. R.  et al.","02 organization","Toro, Richard","International organization"
"69","7362181","06/01/2021 11:24:47","Air pollution and COVID-19 lockdown in a large South American city: Santiago Metropolitan Area, Chile","Toro A, R., Catalán, F., Urdanivia, F. R.  et al.","02 organization","Toro, Richard","Academia"
"70","7362180","06/25/2021 13:43:16","Physical and chemical properties of the aerosol within the southeastern Pacific marine boundary layer","Tomlinson, J. M., Li, R. J., Collins, D. R. ","02 organization","Sanchez, Luis","Academia"
"71","7362179","05/24/2021 18:04:54","Respiratory hazard assessment of combined exposure to complete gasoline exhaust and respirable volcanic ash in a multicellular human lung model at the air-liquid interface","Tomašek, I., Horwell, C. J., Bisig, C.  et al.","02 organization","Manzano, Carlos","Academia"
"72","7362179","05/24/2021 18:04:54","Respiratory hazard assessment of combined exposure to complete gasoline exhaust and respirable volcanic ash in a multicellular human lung model at the air-liquid interface","Tomašek, I., Horwell, C. J., Bisig, C.  et al.","02 organization","Manzano, Carlos","International organization"
"73","7362178","06/03/2021 18:28:06","Demonstration of a powerful mutagenic dinitropyrene in airborne particulate matter","Tokiwa, H., Kitamori, S., Nakagawa, R.  et al.","02 organization","Manzano, Carlos","Academia"
"74","7362177","07/13/2021 19:09:03","Tree-ring responses in Araucaria araucana to two major eruptions of Lonquimay Volcano (Chile)","Tognetti, R., Lombardi, F., Lasserre, B.  et al.","02 organization","Manzano, Carlos","Academia"
"75","7362174","06/06/2021 18:39:04","Volcanic ash from Puyehue-Cordón Caulle Volcanic Complex and Calbuco promote a differential response of pro-inflammatory and oxidative stress mediators on human conjunctival epithelial cells","Tesone, A. I., Lasagni Vitar, R. M., Tau, J.  et al.","02 organization","Manzano, Carlos","Academia"
"76","7362173","05/25/2021 19:41:27","Solar radiation, air pollution, and bronchiolitis hospitalizations in Chile: An ecological study","Terrazas, C., Castro-Rodriguez, J. A., Borzutzky, A. ","02 organization","Sanchez, Luis","Academia"
"77","7362171","05/12/2021 22:35:10","Field performance of a low-cost sensor in the monitoring of particulate matter in Santiago, Chile","Tagle, M., Rojas, F., Reyes, F.  et al.","02 organization","Manzano, Carlos","Academia"
"78","7362170","06/10/2021 16:48:40","Spatiotemporal variation in composition of submicron particles in Santiago Metropolitan Region, Chile","Tagle, M., Reyes, F., Vásquez, Y.  et al.","02 organization","Sanchez, Luis","Academia"
"79","7362169","05/10/2021 18:12:58","A 2000-year record of mercury and ancient civilizations in seal hairs from King George Island, West Antarctica","Sun, L., Yin, X., Liu, X.  et al.","02 organization","Manzano, Carlos","Academia"
"80","7362168","06/23/2021 23:56:03","Quantifying the single-scattering albedo for the January 2017 Chile wildfires from simulations of the OMI absorbing aerosol index","Sun, J. Y. T., Veefkind, J. P., van Velthoven, P.  et al.","02 organization","Sanchez, Luis","International organization"
"81","7362168","06/23/2021 23:56:03","Quantifying the single-scattering albedo for the January 2017 Chile wildfires from simulations of the OMI absorbing aerosol index","Sun, J. Y. T., Veefkind, J. P., van Velthoven, P.  et al.","02 organization","Sanchez, Luis","Academia"
"82","7362167","05/14/2021 00:03:11","Personal exposure to particulate matter in commuters using different transport modes (bus, bicycle, car and subway) in an assigned route in downtown Santiago, Chile","Suárez, L., Mesías, S., Iglesias, V.  et al.","02 organization","Manzano, Carlos","Academia"
"83","7362166","07/02/2021 13:26:22","Natural radiation measurements in Chile","Stuardo, E. ","02 organization","Sanchez, Luis","Academia"
"84","7362165","06/25/2021 13:16:36","Pollution in coastal fog at Alto Patache, Northern Chile","Sträter, E., Westbeld, A., Klemm, O. ","02 organization","Toro, Richard","Academia"
"85","7362164","06/17/2021 13:44:39","Observing the Impact of Calbuco Volcanic Aerosols on South Polar Ozone Depletion in 2015","Stone, K. A., Solomon, S., Kinnison, D. E.  et al.","02 organization","Sanchez, Luis","International organization"
"86","7362164","06/17/2021 13:44:39","Observing the Impact of Calbuco Volcanic Aerosols on South Polar Ozone Depletion in 2015","Stone, K. A., Solomon, S., Kinnison, D. E.  et al.","02 organization","Sanchez, Luis","Academia"
"87","7362163","05/30/2021 23:19:00","Statistical testing of availability for mining technological systems with air quality constraints","Stehlik, M., Economou, P., Papic, L.  et al.","02 organization","Manzano, Carlos","Academia"
"88","7362162","05/11/2021 00:02:05","The potential for indoor ultrafine particle reduction using vegetation under laboratory conditions","Stapleton, E., Ruiz-Rudolph, P. ","02 organization","Manzano, Carlos","Academia"
"89","7362161","07/23/2021 14:20:35","NITROGEN FLUXES IN THROUGHFALL AND LITTERFALL IN TWO NOTHOFAGUS FORESTS IN SOUTHERN CHILE","Staelens, Jeroen, Godoy, Roberto, Oyarzún, Carlos  et al.","02 organization","Sanchez, Luis","Academia"
"90","7362160","06/01/2021 12:05:05","Small sample robust approach to outliers and correlation of atmospheric pollution and health effects in Santiago de Chile","Soza, L. N., Jordanova, P., Nicolis, O.  et al.","02 organization","Toro, Richard","International organization"
"91","7362160","06/01/2021 12:05:05","Small sample robust approach to outliers and correlation of atmospheric pollution and health effects in Santiago de Chile","Soza, L. N., Jordanova, P., Nicolis, O.  et al.","02 organization","Toro, Richard","Academia"
"92","7362159","06/04/2021 17:29:27","Gaseous mercury in coastal urban areas","Soerensen, A. L., Skov, H., Johnson, M. S.  et al.","02 organization","Sanchez, Luis","Academia"
"93","7362157","05/20/2021 00:58:39","Public Spaces as Climate Justice Places? Climate Quality in the City of Chillán, Chile","Smith, P., Henríquez, C. ","02 organization","Manzano, Carlos","Academia"
"94","7362156","06/07/2021 21:12:04","Selected man-made halogenated chemicals in the air and oceanic environment","Singh, H. B., Salas, L. J., Stiles, R. E. ","02 organization","Sanchez, Luis","Academia"
"95","7362155","04/26/2021 17:48:51","Alkyl amides and nitriles as novel tracers for biomass burning","Simoneit, B. R. T., Rushdi, A. I., Abas, M. R. B.  et al.","02 organization","Manzano, Carlos","Private sector"
"96","7362155","04/26/2021 17:48:51","Alkyl amides and nitriles as novel tracers for biomass burning","Simoneit, B. R. T., Rushdi, A. I., Abas, M. R. B.  et al.","02 organization","Manzano, Carlos","Academia"
"97","7362154","07/13/2021 16:16:38","Combustion products of plastics as indicators for refuse burning in the atmosphere","Simoneit, B. R. T., Medeiros, P. M., Didyk, B. M. ","02 organization","Manzano, Carlos","Private sector"
"98","7362154","07/13/2021 16:16:38","Combustion products of plastics as indicators for refuse burning in the atmosphere","Simoneit, B. R. T., Medeiros, P. M., Didyk, B. M. ","02 organization","Manzano, Carlos","Academia"
"99","7362154","07/13/2021 16:16:38","Combustion products of plastics as indicators for refuse burning in the atmosphere","Simoneit, B. R. T., Medeiros, P. M., Didyk, B. M. ","02 organization","Manzano, Carlos","Public sector"
"100","7362153","06/10/2021 21:25:57","An assessment of terrestrial higher molecular weight lipid compounds in aerosol particulate matter over the south atlantic from about 30–70°S","Simoneit, B. R. T., Cardoso, J. N., Robinson, N. ","02 organization","Manzano, Carlos","Academia"
"101","7362152","05/05/2021 21:58:48","Optimization of the atmospheric pollution monitoring network at Santiago de Chile","Silva, C., Quiroz, A. ","02 organization","Sanchez, Luis","Academia"
"102","7362151","05/23/2021 14:12:54","Statistical modelling and prediction of atmospheric pollution by particulate material: Two nonparametric approaches","Silva, C., Peréz, P., Trier, A. ","02 organization","Manzano, Carlos","Academia"
"103","7362150","06/02/2021 21:26:19","Modelado de la dispersión de material particulado en la ciudad de Los Ángeles (Chile) a partir de las estufas a leña en el período de invierno usando AERMOD","Silva, Adrián, Godoy, Gustavo ","02 organization","Manzano, Carlos","Academia"
"104","7362149","05/10/2021 18:45:55","Polycyclic aromatic hydrocarbons and their molecular diagnostic ratios in urban atmospheric respirable particulate matter","Sienra, M. D., Rosazza, N. G., Prendez, M. ","02 organization","Manzano, Carlos","Academia"
"105","7362148","05/07/2021 14:46:05","Occurrence of nitro-polycyclic aromatic hydrocarbons in urban particulate matter PM10","Sienra, M. D., Rosazza, N. G. ","02 organization","Sanchez, Luis","Academia"
"106","7362147","07/05/2021 22:52:19","Methodology for the extraction, clean-up and quantification of polycyclic aromatic hydrocarbons in urban particulate matter","Sienra, M. D., Prendez, M. M., Romero, R. ","02 organization","Sanchez, Luis","Academia"
"107","7362146","06/10/2021 18:04:35","Household and personal air pollution exposure measurements from 120 communities in eight countries: results from the PURE-AIR study","Shupler, M., Hystad, P., Birch, A.  et al.","02 organization","Sanchez, Luis","Academia"
"108","7362145","05/05/2021 22:09:26","Spatial variability of atmospheric semivolatile organic compounds in Chile","Shunthirasingham, C., Barra, R., Mendoza, G.  et al.","02 organization","Sanchez, Luis","Academia"
"109","7362144","07/13/2021 17:38:18","Long-range transport of volcanic aerosols over South Africa: a case study of the Calbuco volcanic eruption in Chile during April 2015","Shikwambana, L., Sivakumar, V. ","02 organization","Manzano, Carlos","Academia"
"110","7362144","07/13/2021 17:38:18","Long-range transport of volcanic aerosols over South Africa: a case study of the Calbuco volcanic eruption in Chile during April 2015","Shikwambana, L., Sivakumar, V. ","02 organization","Manzano, Carlos","International organization"
"111","7362143","06/20/2021 18:06:18","Detection of 3,6-dinitrobenzo[a]pyrene in airborne particulates","Sera, N., Kai, M., Horikawa, K.  et al.","02 organization","Manzano, Carlos","Academia"
"112","7362142","07/12/2021 12:29:00","In-situ observations of aerosol particles remaining from evaporated cirrus crystals: Comparing clean and polluted air masses","Seifert, M., Ström, J., Krejci, R.  et al.","02 organization","Manzano, Carlos","Academia"
"113","7362141","06/23/2021 21:23:33","Ozone weekend effect in Santiago, Chile","Seguel, R. J., Morales, R. G. E., Leiva, M. A. ","02 organization","Toro, Richard","Academia"
"114","7362141","06/23/2021 21:23:33","Ozone weekend effect in Santiago, Chile","Seguel, R. J., Morales, R. G. E., Leiva, M. A. ","02 organization","Toro, Richard","Public sector"
"115","7362140","06/06/2021 21:48:39","Ozone distribution in the lower troposphere over complex terrain in Central Chile","Seguel, R. J., Mancilla, C. A., Rondanelli, R.  et al.","02 organization","Manzano, Carlos","Academia"
"116","7362139","05/13/2021 22:39:06","Stratospheric ozone intrusions during the passage of cold fronts over central Chile","Seguel, R. J., Mancilla, C. A., Leiva, M. A. ","02 organization","Manzano, Carlos","Academia"
"117","7362138","05/13/2021 23:48:22","Two decades of ozone standard exceedances in Santiago de Chile","Seguel, R. J., Gallardo, L., Fleming, Z. L.  et al.","02 organization","Manzano, Carlos","Academia"
"118","7362137","05/06/2021 16:49:55","Estimations of primary and secondary organic carbon formation in PM2.5 aerosols of Santiago City, Chile","Seguel A, R., Morales S, R. G. E., Leiva, M. A. ","02 organization","Sanchez, Luis","Academia"
"119","7362136","07/05/2021 23:00:26","SO2 as a possible proxy for volcanic ash in aviation hazard avoidance","Sears, T. M., Thomas, G. E., Carboni, E.  et al.","02 organization","Sanchez, Luis","Academia"
"120","7362135","04/29/2021 22:34:49","Preliminary characterization of polycyclic aromatic hydrocarbons, nitrated polycyclic aromatic hydrocarbons and polychlorinated dibenzo-p-dioxins and furans in atmospheric PM10 of an urban and a remote area of Chile","Scipioni, C., Villanueva, F., Pozo, K.  et al.","02 organization","Manzano, Carlos","Academia"
"121","7362134","05/06/2021 19:16:46","Anomalously high arsenic concentration in a West Antarctic ice core and its relationship to copper mining in Chile","Schwanck, F., Simoes, J. C., Handley, M.  et al.","02 organization","Sanchez, Luis","Academia"
"122","7362133","05/28/2021 02:46:23","Firewood demand and energy policy in south-central Chile","Schueftan, A., Sommerhoff, J., González, A. D. ","02 organization","Toro, Richard","Academia"
"123","7362132","04/29/2021 18:37:37","Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile","Schueftan, A., González, A. D. ","02 organization","Toro, Richard","Academia"
"124","7362131","05/24/2021 16:15:21","Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs","Schueftan, A., González, A. D. ","02 organization","Manzano, Carlos","Academia"
"125","7362130","06/06/2021 18:44:15","Adapting the European approach of Best Available Techniques: case studies from Chile and China","Schollenberger, H., Treitz, M., Geldermann, J. ","02 organization","Manzano, Carlos","Academia"
"126","7362129","05/07/2021 11:51:30","Modelling of air pollution dispersion in Santiago de Chile","Schmitz, R. ","02 organization","Toro, Richard","Academia"
"127","7362128","06/11/2021 14:50:59","Carbon export fluxes in the Southern Ocean: Results from inverse modeling and comparison with satellite-based estimates","Schlitzer, R. ","02 organization","Sanchez, Luis","Academia"
"128","7362127","06/02/2021 21:32:54","OCULAR AND DERMATOLOGICAL HEALTH-EFFECTS OF ULTRAVIOLET-RADIATION EXPOSURE FROM THE OZONE HOLE IN SOUTHERN CHILE","Schein, O. D., Vicencio, C., Munoz, B.  et al.","02 organization","Manzano, Carlos","International organization"
"129","7362127","06/02/2021 21:32:54","OCULAR AND DERMATOLOGICAL HEALTH-EFFECTS OF ULTRAVIOLET-RADIATION EXPOSURE FROM THE OZONE HOLE IN SOUTHERN CHILE","Schein, O. D., Vicencio, C., Munoz, B.  et al.","02 organization","Manzano, Carlos","Academia"
"130","7362126","05/10/2021 23:53:10","Trends in the elemental composition of fine particulate matter in Santiago, Chile, from 1998 to 2003","Sax, S. N., Koutrakis, P., Rudolph, P. A. R.  et al.","02 organization","Manzano, Carlos","Academia"
"131","7362125","06/11/2021 16:32:40","Gas and aerosol emissions from Villarrica volcano, Chile","Sawyer, G. M., Salerno, G. G., Le Blond, J. S.  et al.","02 organization","Sanchez, Luis","Academia"
"132","7362124","06/03/2021 17:38:34","Valuation of the economic impact of the initial allocation of tradable emission permits in air pollution control","Sauma, E. E. ","02 organization","Manzano, Carlos","Academia"
"133","7362123","05/11/2021 00:07:40","Particulate air pollution and health effects for cardiovascular and respiratory causes in Temuco, Chile: A wood-smoke-polluted urban area","Sanhueza, P. A., Torreblanca, M. A., Diaz-Robles, L. A.  et al.","02 organization","Manzano, Carlos","Academia"
"134","7362123","05/11/2021 00:07:40","Particulate air pollution and health effects for cardiovascular and respiratory causes in Temuco, Chile: A wood-smoke-polluted urban area","Sanhueza, P. A., Torreblanca, M. A., Diaz-Robles, L. A.  et al.","02 organization","Manzano, Carlos","Public sector"
"135","7362121","05/12/2021 22:29:42","Health risk estimation due to carbon monoxide pollution at different spatial levels in Santiago, Chile","Sanhueza, P., Pizarro, J., Vargas, C.  et al.","02 organization","Manzano, Carlos","Academia"
