"","X","ActiveScreener.Id","Time.of.Screening","Title","Authors","question","answers"
"12","18","8720796","12/09/2021 21:19:02","Physicochemical characteristics, oxidative capacities and cytotoxicities of sulfate-coated, 1,4-NQ-coated and ozone-aged black carbon particles","Li, Q., Shang, J., Liu, J.  et al.","Answers04","UOM"
"13","23","8720796","12/09/2021 21:19:02","Physicochemical characteristics, oxidative capacities and cytotoxicities of sulfate-coated, 1,4-NQ-coated and ozone-aged black carbon particles","Li, Q., Shang, J., Liu, J.  et al.","Answers09","CHE"
"14","23","8720796","12/09/2021 21:19:02","Physicochemical characteristics, oxidative capacities and cytotoxicities of sulfate-coated, 1,4-NQ-coated and ozone-aged black carbon particles","Li, Q., Shang, J., Liu, J.  et al.","Answers09","CON"
"15","23","8720796","12/09/2021 21:19:02","Physicochemical characteristics, oxidative capacities and cytotoxicities of sulfate-coated, 1,4-NQ-coated and ozone-aged black carbon particles","Li, Q., Shang, J., Liu, J.  et al.","Answers09","PHM"
"16","27","8720796","12/09/2021 21:19:02","Physicochemical characteristics, oxidative capacities and cytotoxicities of sulfate-coated, 1,4-NQ-coated and ozone-aged black carbon particles","Li, Q., Shang, J., Liu, J.  et al.","Answers13","ASI"
"17","36","8720790","03/02/2022 19:39:03","Effects of a nanoceria fuel additive on the physicochemical properties of diesel exhaust particles","Zhang, J., Lee, K.-B., He, L.  et al.","Answers09","CON"
"18","36","8720790","03/02/2022 19:39:03","Effects of a nanoceria fuel additive on the physicochemical properties of diesel exhaust particles","Zhang, J., Lee, K.-B., He, L.  et al.","Answers09","PHM"
"19","37","8720790","03/02/2022 19:39:03","Effects of a nanoceria fuel additive on the physicochemical properties of diesel exhaust particles","Zhang, J., Lee, K.-B., He, L.  et al.","Answers10","CC"
"20","40","8720790","03/02/2022 19:39:03","Effects of a nanoceria fuel additive on the physicochemical properties of diesel exhaust particles","Zhang, J., Lee, K.-B., He, L.  et al.","Answers13","United States"
"21","42","8720780","03/02/2022 20:14:38","Effects of fuel components and combustion particle physicochemical properties on toxicological responses of lung cells","Jaramillo, I.C., Sturrock, A., Ghiassi, H.  et al.","Answers02","EXA"
"22","49","8720780","03/02/2022 20:14:38","Effects of fuel components and combustion particle physicochemical properties on toxicological responses of lung cells","Jaramillo, I.C., Sturrock, A., Ghiassi, H.  et al.","Answers09","CON"
"23","49","8720780","03/02/2022 20:14:38","Effects of fuel components and combustion particle physicochemical properties on toxicological responses of lung cells","Jaramillo, I.C., Sturrock, A., Ghiassi, H.  et al.","Answers09","PHM"
"24","49","8720780","03/02/2022 20:14:38","Effects of fuel components and combustion particle physicochemical properties on toxicological responses of lung cells","Jaramillo, I.C., Sturrock, A., Ghiassi, H.  et al.","Answers09","TOX"
"25","50","8720780","03/02/2022 20:14:38","Effects of fuel components and combustion particle physicochemical properties on toxicological responses of lung cells","Jaramillo, I.C., Sturrock, A., Ghiassi, H.  et al.","Answers10","PM"
"26","50","8720780","03/02/2022 20:14:38","Effects of fuel components and combustion particle physicochemical properties on toxicological responses of lung cells","Jaramillo, I.C., Sturrock, A., Ghiassi, H.  et al.","Answers10","PAH"
"27","53","8720780","03/02/2022 20:14:38","Effects of fuel components and combustion particle physicochemical properties on toxicological responses of lung cells","Jaramillo, I.C., Sturrock, A., Ghiassi, H.  et al.","Answers13","United States"
"28","62","8720777","02/24/2022 14:46:20","In vitro evaluation of oxidative stress caused by fine particles (PM2.5)Exhausted from heavy-duty vehicles using diesel/biodiesel blends under real world conditions","De Jesus, R.M., Mosca, A.C., Guarieiro, A.L.N.  et al.","Answers09","CON"
"29","63","8720777","02/24/2022 14:46:20","In vitro evaluation of oxidative stress caused by fine particles (PM2.5)Exhausted from heavy-duty vehicles using diesel/biodiesel blends under real world conditions","De Jesus, R.M., Mosca, A.C., Guarieiro, A.L.N.  et al.","Answers10","PM"
"30","63","8720777","02/24/2022 14:46:20","In vitro evaluation of oxidative stress caused by fine particles (PM2.5)Exhausted from heavy-duty vehicles using diesel/biodiesel blends under real world conditions","De Jesus, R.M., Mosca, A.C., Guarieiro, A.L.N.  et al.","Answers10","QUI"
"31","63","8720777","02/24/2022 14:46:20","In vitro evaluation of oxidative stress caused by fine particles (PM2.5)Exhausted from heavy-duty vehicles using diesel/biodiesel blends under real world conditions","De Jesus, R.M., Mosca, A.C., Guarieiro, A.L.N.  et al.","Answers10","PAH"
"32","66","8720777","02/24/2022 14:46:20","In vitro evaluation of oxidative stress caused by fine particles (PM2.5)Exhausted from heavy-duty vehicles using diesel/biodiesel blends under real world conditions","De Jesus, R.M., Mosca, A.C., Guarieiro, A.L.N.  et al.","Answers13","SAM"
"33","81","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers02","ACP"
"34","85","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers06","AA"
"35","85","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers06","RTLF"
"36","85","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers06","UA"
"37","85","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers06","GSH"
"38","86","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers07","DOM"
"39","86","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers07","TRA"
"40","86","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers07","ICE"
"41","87","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers08","TRA08"
"42","88","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers09","CON"
"43","88","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers09","TOX"
"44","88","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers09","MET"
"45","89","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers10","PM"
"46","89","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers10","BIE"
"47","89","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers10","AC"
"48","92","8720769","02/24/2022 13:59:27","Aerosol characterisation including oxidative potential as a proxy of health impact: A case of a residential site in a highly industrialised area","Josipovic, M., Segakweng, C.K., Beukes, J.P.  et al.","Answers13","AFR"
"49","99","8720768","02/18/2022 13:49:54","Comparison of the oxidative potential of primary (POA) and secondary (SOA) organic aerosols derived from a-pinene and gasoline engine exhaust precursors","Lovett, C., Baasiri, M., Atwi, K.  et al.","Answers07","NAS"
"50","101","8720768","02/18/2022 13:49:54","Comparison of the oxidative potential of primary (POA) and secondary (SOA) organic aerosols derived from a-pinene and gasoline engine exhaust precursors","Lovett, C., Baasiri, M., Atwi, K.  et al.","Answers09","CHE"
"51","101","8720768","02/18/2022 13:49:54","Comparison of the oxidative potential of primary (POA) and secondary (SOA) organic aerosols derived from a-pinene and gasoline engine exhaust precursors","Lovett, C., Baasiri, M., Atwi, K.  et al.","Answers09","TOX"
"52","102","8720768","02/18/2022 13:49:54","Comparison of the oxidative potential of primary (POA) and secondary (SOA) organic aerosols derived from a-pinene and gasoline engine exhaust precursors","Lovett, C., Baasiri, M., Atwi, K.  et al.","Answers10","CC"
"53","102","8720768","02/18/2022 13:49:54","Comparison of the oxidative potential of primary (POA) and secondary (SOA) organic aerosols derived from a-pinene and gasoline engine exhaust precursors","Lovett, C., Baasiri, M., Atwi, K.  et al.","Answers10","SOA"
"54","102","8720768","02/18/2022 13:49:54","Comparison of the oxidative potential of primary (POA) and secondary (SOA) organic aerosols derived from a-pinene and gasoline engine exhaust precursors","Lovett, C., Baasiri, M., Atwi, K.  et al.","Answers10","OT10"
"55","105","8720768","02/18/2022 13:49:54","Comparison of the oxidative potential of primary (POA) and secondary (SOA) organic aerosols derived from a-pinene and gasoline engine exhaust precursors","Lovett, C., Baasiri, M., Atwi, K.  et al.","Answers13","United States"
"56","112","8720765","02/19/2022 14:24:21","Effects of air/fuel ratio and ozone aging on physicochemical properties and oxidative potential of soot particles","Zhu, J., Chen, Y., Shang, J.  et al.","Answers07","POW"
"57","112","8720765","02/19/2022 14:24:21","Effects of air/fuel ratio and ozone aging on physicochemical properties and oxidative potential of soot particles","Zhu, J., Chen, Y., Shang, J.  et al.","Answers07","BBN"
"58","112","8720765","02/19/2022 14:24:21","Effects of air/fuel ratio and ozone aging on physicochemical properties and oxidative potential of soot particles","Zhu, J., Chen, Y., Shang, J.  et al.","Answers07","OT07"
"59","114","8720765","02/19/2022 14:24:21","Effects of air/fuel ratio and ozone aging on physicochemical properties and oxidative potential of soot particles","Zhu, J., Chen, Y., Shang, J.  et al.","Answers09","CHE"
"60","114","8720765","02/19/2022 14:24:21","Effects of air/fuel ratio and ozone aging on physicochemical properties and oxidative potential of soot particles","Zhu, J., Chen, Y., Shang, J.  et al.","Answers09","PHM"
"61","115","8720765","02/19/2022 14:24:21","Effects of air/fuel ratio and ozone aging on physicochemical properties and oxidative potential of soot particles","Zhu, J., Chen, Y., Shang, J.  et al.","Answers10","CC"
"62","115","8720765","02/19/2022 14:24:21","Effects of air/fuel ratio and ozone aging on physicochemical properties and oxidative potential of soot particles","Zhu, J., Chen, Y., Shang, J.  et al.","Answers10","PAH"
"63","115","8720765","02/19/2022 14:24:21","Effects of air/fuel ratio and ozone aging on physicochemical properties and oxidative potential of soot particles","Zhu, J., Chen, Y., Shang, J.  et al.","Answers10","OT10"
"64","118","8720765","02/19/2022 14:24:21","Effects of air/fuel ratio and ozone aging on physicochemical properties and oxidative potential of soot particles","Zhu, J., Chen, Y., Shang, J.  et al.","Answers13","China"
"65","121","8720758","02/22/2022 19:56:04","Oxidative potential of particles at a research house: Influencing factors and comparison with outdoor particles","Khurshid, S.S., Emmerich, S., Persily, A. ","Answers03","IND"
"66","127","8720758","02/22/2022 19:56:04","Oxidative potential of particles at a research house: Influencing factors and comparison with outdoor particles","Khurshid, S.S., Emmerich, S., Persily, A. ","Answers09","CON"
"67","131","8720758","02/22/2022 19:56:04","Oxidative potential of particles at a research house: Influencing factors and comparison with outdoor particles","Khurshid, S.S., Emmerich, S., Persily, A. ","Answers13","NAM"
"68","134","8720753","11/17/2021 09:34:18","Chemical Composition and Toxicity of Particles Emitted from a Consumer-Level 3D Printer Using Various Materials","Zhang, Q., Pardo, M., Rudich, Y.  et al.","Answers03","AMB"
"69","134","8720753","11/17/2021 09:34:18","Chemical Composition and Toxicity of Particles Emitted from a Consumer-Level 3D Printer Using Various Materials","Zhang, Q., Pardo, M., Rudich, Y.  et al.","Answers03","IND"
"70","140","8720753","11/17/2021 09:34:18","Chemical Composition and Toxicity of Particles Emitted from a Consumer-Level 3D Printer Using Various Materials","Zhang, Q., Pardo, M., Rudich, Y.  et al.","Answers09","CON"
"71","140","8720753","11/17/2021 09:34:18","Chemical Composition and Toxicity of Particles Emitted from a Consumer-Level 3D Printer Using Various Materials","Zhang, Q., Pardo, M., Rudich, Y.  et al.","Answers09","TOX"
"72","140","8720753","11/17/2021 09:34:18","Chemical Composition and Toxicity of Particles Emitted from a Consumer-Level 3D Printer Using Various Materials","Zhang, Q., Pardo, M., Rudich, Y.  et al.","Answers09","CHE"
"73","141","8720753","11/17/2021 09:34:18","Chemical Composition and Toxicity of Particles Emitted from a Consumer-Level 3D Printer Using Various Materials","Zhang, Q., Pardo, M., Rudich, Y.  et al.","Answers10","BIE"
"74","141","8720753","11/17/2021 09:34:18","Chemical Composition and Toxicity of Particles Emitted from a Consumer-Level 3D Printer Using Various Materials","Zhang, Q., Pardo, M., Rudich, Y.  et al.","Answers10","PM"
"75","144","8720753","11/17/2021 09:34:18","Chemical Composition and Toxicity of Particles Emitted from a Consumer-Level 3D Printer Using Various Materials","Zhang, Q., Pardo, M., Rudich, Y.  et al.","Answers13","Israel"
"76","153","8720746","03/02/2022 17:36:11","Comparison of light absorption and oxidative potential of biodiesel/diesel and chemicals/diesel blends soot particles","Kuang, Y., Guo, Y., Chai, J.  et al.","Answers09","PHM"
"77","153","8720746","03/02/2022 17:36:11","Comparison of light absorption and oxidative potential of biodiesel/diesel and chemicals/diesel blends soot particles","Kuang, Y., Guo, Y., Chai, J.  et al.","Answers09","CHE"
"78","154","8720746","03/02/2022 17:36:11","Comparison of light absorption and oxidative potential of biodiesel/diesel and chemicals/diesel blends soot particles","Kuang, Y., Guo, Y., Chai, J.  et al.","Answers10","PM"
"79","157","8720746","03/02/2022 17:36:11","Comparison of light absorption and oxidative potential of biodiesel/diesel and chemicals/diesel blends soot particles","Kuang, Y., Guo, Y., Chai, J.  et al.","Answers13","Australia"
"80","157","8720746","03/02/2022 17:36:11","Comparison of light absorption and oxidative potential of biodiesel/diesel and chemicals/diesel blends soot particles","Kuang, Y., Guo, Y., Chai, J.  et al.","Answers13","ASI"
"81","157","8720746","03/02/2022 17:36:11","Comparison of light absorption and oxidative potential of biodiesel/diesel and chemicals/diesel blends soot particles","Kuang, Y., Guo, Y., Chai, J.  et al.","Answers13","OCE"
"82","164","8720742","02/23/2022 15:09:49","A Study on Oxidative Potential of Fine Particles Measured at an Urban Site and a Rural Site","Lee, B.-J., Son, S.-C., Yu, G.-H.  et al.","Answers07","ICE"
"83","164","8720742","02/23/2022 15:09:49","A Study on Oxidative Potential of Fine Particles Measured at an Urban Site and a Rural Site","Lee, B.-J., Son, S.-C., Yu, G.-H.  et al.","Answers07","TRA"
"84","164","8720742","02/23/2022 15:09:49","A Study on Oxidative Potential of Fine Particles Measured at an Urban Site and a Rural Site","Lee, B.-J., Son, S.-C., Yu, G.-H.  et al.","Answers07","NAS"
"85","165","8720742","02/23/2022 15:09:49","A Study on Oxidative Potential of Fine Particles Measured at an Urban Site and a Rural Site","Lee, B.-J., Son, S.-C., Yu, G.-H.  et al.","Answers08","BBN08"
"86","166","8720742","02/23/2022 15:09:49","A Study on Oxidative Potential of Fine Particles Measured at an Urban Site and a Rural Site","Lee, B.-J., Son, S.-C., Yu, G.-H.  et al.","Answers09","CHE"
"87","167","8720742","02/23/2022 15:09:49","A Study on Oxidative Potential of Fine Particles Measured at an Urban Site and a Rural Site","Lee, B.-J., Son, S.-C., Yu, G.-H.  et al.","Answers10","SOA"
"88","167","8720742","02/23/2022 15:09:49","A Study on Oxidative Potential of Fine Particles Measured at an Urban Site and a Rural Site","Lee, B.-J., Son, S.-C., Yu, G.-H.  et al.","Answers10","CC"
"89","167","8720742","02/23/2022 15:09:49","A Study on Oxidative Potential of Fine Particles Measured at an Urban Site and a Rural Site","Lee, B.-J., Son, S.-C., Yu, G.-H.  et al.","Answers10","AC"
"90","170","8720742","02/23/2022 15:09:49","A Study on Oxidative Potential of Fine Particles Measured at an Urban Site and a Rural Site","Lee, B.-J., Son, S.-C., Yu, G.-H.  et al.","Answers13","South Korea"
"91","174","8720735","12/01/2021 14:59:53","Characterization, pro-inflammatory response and cytotoxic profile of bioaerosols from urban and rural residential settings in Pune, India","Roy, R., Jan, R., Joshi, U.  et al.","Answers04","HEA"
"92","177","8720735","12/01/2021 14:59:53","Characterization, pro-inflammatory response and cytotoxic profile of bioaerosols from urban and rural residential settings in Pune, India","Roy, R., Jan, R., Joshi, U.  et al.","Answers07","NAS"
"93","179","8720735","12/01/2021 14:59:53","Characterization, pro-inflammatory response and cytotoxic profile of bioaerosols from urban and rural residential settings in Pune, India","Roy, R., Jan, R., Joshi, U.  et al.","Answers09","MET"
"94","179","8720735","12/01/2021 14:59:53","Characterization, pro-inflammatory response and cytotoxic profile of bioaerosols from urban and rural residential settings in Pune, India","Roy, R., Jan, R., Joshi, U.  et al.","Answers09","CON"
"95","179","8720735","12/01/2021 14:59:53","Characterization, pro-inflammatory response and cytotoxic profile of bioaerosols from urban and rural residential settings in Pune, India","Roy, R., Jan, R., Joshi, U.  et al.","Answers09","TOX"
"96","179","8720735","12/01/2021 14:59:53","Characterization, pro-inflammatory response and cytotoxic profile of bioaerosols from urban and rural residential settings in Pune, India","Roy, R., Jan, R., Joshi, U.  et al.","Answers09","CHE"
"97","180","8720735","12/01/2021 14:59:53","Characterization, pro-inflammatory response and cytotoxic profile of bioaerosols from urban and rural residential settings in Pune, India","Roy, R., Jan, R., Joshi, U.  et al.","Answers10","PM"
"98","180","8720735","12/01/2021 14:59:53","Characterization, pro-inflammatory response and cytotoxic profile of bioaerosols from urban and rural residential settings in Pune, India","Roy, R., Jan, R., Joshi, U.  et al.","Answers10","BIO"
"99","183","8720735","12/01/2021 14:59:53","Characterization, pro-inflammatory response and cytotoxic profile of bioaerosols from urban and rural residential settings in Pune, India","Roy, R., Jan, R., Joshi, U.  et al.","Answers13","India"
"100","185","8720734","02/28/2022 21:27:44","Identification of toxicity parameters associated with combustion produced soot surface chemistry and particle structure by in vitro assays","Housseiny, H.A., Singh, M., Emile, S.  et al.","Answers02","ACP"
"101","190","8720734","02/28/2022 21:27:44","Identification of toxicity parameters associated with combustion produced soot surface chemistry and particle structure by in vitro assays","Housseiny, H.A., Singh, M., Emile, S.  et al.","Answers07","TRA"
"102","190","8720734","02/28/2022 21:27:44","Identification of toxicity parameters associated with combustion produced soot surface chemistry and particle structure by in vitro assays","Housseiny, H.A., Singh, M., Emile, S.  et al.","Answers07","OT07"
"103","192","8720734","02/28/2022 21:27:44","Identification of toxicity parameters associated with combustion produced soot surface chemistry and particle structure by in vitro assays","Housseiny, H.A., Singh, M., Emile, S.  et al.","Answers09","TOX"
"104","192","8720734","02/28/2022 21:27:44","Identification of toxicity parameters associated with combustion produced soot surface chemistry and particle structure by in vitro assays","Housseiny, H.A., Singh, M., Emile, S.  et al.","Answers09","CHE"
"105","192","8720734","02/28/2022 21:27:44","Identification of toxicity parameters associated with combustion produced soot surface chemistry and particle structure by in vitro assays","Housseiny, H.A., Singh, M., Emile, S.  et al.","Answers09","PHM"
"106","196","8720734","02/28/2022 21:27:44","Identification of toxicity parameters associated with combustion produced soot surface chemistry and particle structure by in vitro assays","Housseiny, H.A., Singh, M., Emile, S.  et al.","Answers13","NAM"
"107","205","8720729","02/25/2022 16:07:22","Fate of transition metals in PO4-based: In vitro assays: Equilibrium modeling and macroscopic studies","Reed, B.E., Yalamanchili, J., Leach, J.B.  et al.","Answers09","PHM"
"108","209","8720729","02/25/2022 16:07:22","Fate of transition metals in PO4-based: In vitro assays: Equilibrium modeling and macroscopic studies","Reed, B.E., Yalamanchili, J., Leach, J.B.  et al.","Answers13","NAM"
"109","210","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers01","ACA"
"110","211","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers02","EOM"
"111","213","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers04","HEA"
"112","215","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers06","RTLF"
"113","216","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers07","NEE"
"114","216","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers07","ICE"
"115","216","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers07","DOM"
"116","216","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers07","TRA"
"117","217","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers08","TRA08"
"118","218","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers09","OT09"
"119","218","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers09","CON"
"120","219","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers10","CC"
"121","219","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers10","HM"
"122","222","8720725","12/09/2021 21:46:50","The influence of chemical composition, aerosol acidity, and metal dissolution on the oxidative potential of fine particulate matter and redox potential of the lung lining fluid","Shahpoury, P., Zhang, Z.W., Arangio, A.  et al.","Answers13","Canada"
"123","223","8720722","12/13/2021 15:01:45","Polycyclic aromatic hydrocarbon exposure, oxidative potential in dust, and their relationships to oxidative stress in human body: A case study in the indoor environment of Guangzhou, South China","Zhang, Y.-J., Huang, C., Lv, Y.-S.  et al.","Answers01","ACA"
"124","224","8720722","12/13/2021 15:01:45","Polycyclic aromatic hydrocarbon exposure, oxidative potential in dust, and their relationships to oxidative stress in human body: A case study in the indoor environment of Guangzhou, South China","Zhang, Y.-J., Huang, C., Lv, Y.-S.  et al.","Answers02","ACP"
"125","225","8720722","12/13/2021 15:01:45","Polycyclic aromatic hydrocarbon exposure, oxidative potential in dust, and their relationships to oxidative stress in human body: A case study in the indoor environment of Guangzhou, South China","Zhang, Y.-J., Huang, C., Lv, Y.-S.  et al.","Answers03","REM"
"126","231","8720722","12/13/2021 15:01:45","Polycyclic aromatic hydrocarbon exposure, oxidative potential in dust, and their relationships to oxidative stress in human body: A case study in the indoor environment of Guangzhou, South China","Zhang, Y.-J., Huang, C., Lv, Y.-S.  et al.","Answers09","CHE"
"127","231","8720722","12/13/2021 15:01:45","Polycyclic aromatic hydrocarbon exposure, oxidative potential in dust, and their relationships to oxidative stress in human body: A case study in the indoor environment of Guangzhou, South China","Zhang, Y.-J., Huang, C., Lv, Y.-S.  et al.","Answers09","TOX"
"128","231","8720722","12/13/2021 15:01:45","Polycyclic aromatic hydrocarbon exposure, oxidative potential in dust, and their relationships to oxidative stress in human body: A case study in the indoor environment of Guangzhou, South China","Zhang, Y.-J., Huang, C., Lv, Y.-S.  et al.","Answers09","CON"
"129","232","8720722","12/13/2021 15:01:45","Polycyclic aromatic hydrocarbon exposure, oxidative potential in dust, and their relationships to oxidative stress in human body: A case study in the indoor environment of Guangzhou, South China","Zhang, Y.-J., Huang, C., Lv, Y.-S.  et al.","Answers10","BIE"
"130","232","8720722","12/13/2021 15:01:45","Polycyclic aromatic hydrocarbon exposure, oxidative potential in dust, and their relationships to oxidative stress in human body: A case study in the indoor environment of Guangzhou, South China","Zhang, Y.-J., Huang, C., Lv, Y.-S.  et al.","Answers10","PM"
